paid,verified,study_hours,technical_skills,Angular,Java,Machine Learning,Python,React,SQL,Spring Boot,role_ENTERPRISE,role_FREELANCER,role_STUDENT,role_TEACHER,specialty_Data Science,specialty_Finance,specialty_Informatique,specialty_Marketing,specialty_Mathématiques,sector_Finance,sector_Santé,sector_Technologie,sector_Éducation,sector_Énergie
0.0,,20.155375772284568,4,1,0,0,1,1,0,0,False,False,True,False,False,False,False,False,True,False,False,False,False,False
0.0,,19.31996800365276,1,0,1,0,1,1,0,0,False,False,True,False,False,True,False,False,False,False,False,False,False,False
,1.0,0.0,0,0,0,1,1,0,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False
1.0,,14.225119415893307,1,1,0,0,0,0,0,1,False,False,True,False,False,False,True,False,False,False,False,False,False,False
,0.0,0.0,0,0,0,0,0,1,1,0,True,False,False,False,False,False,False,False,False,False,False,False,True,False
1.0,,13.53273928006134,4,0,0,0,1,0,1,0,False,False,True,False,True,False,False,False,False,False,False,False,False,False
,1.0,0.0,0,1,0,1,0,0,1,0,True,False,False,False,False,False,False,False,False,True,False,False,False,False
,1.0,0.0,0,0,0,1,0,0,0,0,True,False,False,False,False,False,False,False,False,True,False,False,False,False
,,17.802191091116605,4,0,0,0,0,1,0,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False
,0.0,0.0,0,0,0,1,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False
,,17.384919593937873,4,0,0,0,0,1,0,0,False,False,False,True,False,False,False,True,False,False,False,False,False,False
,,23.78815607144085,1,1,1,0,0,1,0,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False
0.0,,20.66379434260522,2,0,0,0,0,0,0,1,False,False,True,False,False,False,True,False,False,False,False,False,False,False
,,0.0,4,0,1,1,0,0,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False
,1.0,0.0,0,0,0,0,1,0,0,1,True,False,False,False,False,False,False,False,False,False,False,True,False,False
,0.0,0.0,0,0,0,0,0,0,1,1,True,False,False,False,False,False,False,False,False,False,False,True,False,False
,,0.0,2,0,0,0,0,1,1,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False
,,19.41048588756036,1,1,0,0,0,0,0,0,False,False,False,True,False,True,False,False,False,False,False,False,False,False
0.0,,25.014503609628438,4,0,1,0,0,0,0,0,False,False,True,False,False,True,False,False,False,False,False,False,False,False
0.0,,19.48914618214196,2,0,0,0,0,0,0,1,False,False,True,False,False,False,False,False,True,False,False,False,False,False
,,19.53366833737052,2,1,0,1,0,0,0,0,False,False,False,True,False,True,False,False,False,False,False,False,False,False
,0.0,0.0,0,0,1,0,0,1,0,0,True,False,False,False,False,False,False,False,False,False,False,False,True,False
0.0,,20.474756851861702,2,1,0,0,0,1,0,1,False,False,True,False,False,False,True,False,False,False,False,False,False,False
,,0.0,1,0,0,0,1,0,1,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False
,0.0,0.0,0,0,1,0,0,0,0,1,True,False,False,False,False,False,False,False,False,False,False,True,False,False
0.0,,18.211593583416942,3,0,1,0,0,0,0,0,False,False,True,False,False,False,False,True,False,False,False,False,False,False
1.0,,26.36357394600905,3,1,1,0,1,0,0,0,False,False,True,False,False,True,False,False,False,False,False,False,False,False
,,25.560684096412274,1,1,0,0,0,0,0,0,False,False,False,True,False,True,False,False,False,False,False,False,False,False
,1.0,0.0,0,1,0,0,0,0,0,1,True,False,False,False,False,False,False,False,False,False,False,True,False,False
1.0,,26.3085529106148,1,0,0,0,0,0,0,1,False,False,True,False,False,False,True,False,False,False,False,False,False,False
1.0,,29.53197523673777,4,0,1,0,0,0,1,0,False,False,True,False,False,True,False,False,False,False,False,False,False,False
1.0,,20.317487919630953,3,1,0,1,0,1,0,0,False,False,True,False,False,False,False,False,True,False,False,False,False,False
0.0,,33.019570696539034,3,0,0,0,0,1,0,0,False,False,True,False,True,False,False,False,False,False,False,False,False,False
,,0.0,3,0,1,1,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False
1.0,,20.440192339866623,4,1,1,0,0,0,0,0,False,False,True,False,False,False,True,False,False,False,False,False,False,False
0.0,,22.21194519347052,3,0,0,0,0,0,0,1,False,False,True,False,False,False,True,False,False,False,False,False,False,False
1.0,,21.036669017560158,3,1,0,0,0,0,0,1,False,False,True,False,True,False,False,False,False,False,False,False,False,False
,0.0,0.0,0,1,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True
,,0.0,4,0,0,0,1,0,1,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False
0.0,,20.8458480980101,4,1,0,1,0,0,0,1,False,False,True,False,False,True,False,False,False,False,False,False,False,False
1.0,,17.309132233990972,3,0,1,0,0,1,1,0,False,False,True,False,True,False,False,False,False,False,False,False,False,False
1.0,,27.463477787755604,4,0,1,0,1,0,1,0,False,False,True,False,False,False,False,True,False,False,False,False,False,False
1.0,,18.832736662225606,4,0,0,1,0,1,1,0,False,False,True,False,False,False,True,False,False,False,False,False,False,False
,,0.0,3,0,0,0,1,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False
0.0,,24.59040823452834,2,0,0,0,0,0,0,1,False,False,True,False,False,False,True,False,False,False,False,False,False,False
,0.0,0.0,0,0,0,0,1,1,0,0,True,False,False,False,False,False,False,False,False,True,False,False,False,False
1.0,,22.52276282199104,3,0,0,0,1,1,1,0,False,False,True,False,True,False,False,False,False,False,False,False,False,False
1.0,,6.275563394783649,1,1,0,0,0,1,0,0,False,False,True,False,False,False,True,False,False,False,False,False,False,False
,,0.0,1,0,0,1,1,0,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False
,,11.734100012556581,2,0,0,0,1,1,0,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False
1.0,,13.014296741525099,2,1,1,0,0,1,0,0,False,False,True,False,False,False,False,False,True,False,False,False,False,False
,,17.493183045583233,4,1,0,0,0,0,0,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False
1.0,,19.76925514992208,4,1,0,1,0,0,0,1,False,False,True,False,False,False,False,True,False,False,False,False,False,False
0.0,,13.75842821582695,3,1,1,0,0,0,0,1,False,False,True,False,True,False,False,False,False,False,False,False,False,False
0.0,,29.311826312917162,3,0,0,0,0,0,1,0,False,False,True,False,True,False,False,False,False,False,False,False,False,False
,1.0,0.0,0,0,0,0,1,0,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False
,,4.952902800566857,2,0,0,1,0,1,0,0,False,False,False,True,True,False,False,False,False,False,False,False,False,False
